content
鞋子不好穿，鞋码又对就是穿了不舒适，假货服务态度也差不理人的
还不错，穿起来挺舒服，白色鞋子容易脏，而且这个鞋子容易脚臭
鞋子收到总的来说还算可以上脚舒服轻快，底部防滑！和图片上一样漂亮！！美中不足的鞋子。买鞋子也不送袜子或鞋垫之类的！同39码鞋子这鞋子比以前买的匹克大一点点！质量有待验证吧！！谢谢老板的鞋子
鞋子可以我就不发图了好评
一般般吧，就是一般运动鞋
一分钱一分货，鞋子有瑕疵，塑料味很大。
穿着很难受，蹩脚，鞋子很丑
鞋的样子罢了麻不正规穿着脚大拇指疼，鞋垫打开明显有胶粘的痕迹，所以可以确定的是鞋子不是正品，劝大家买的时候谨慎，我呆的地方实在太偏要不然我退货了。便宜货肯定是假的。
鞋子不是很好，拿到手还是比较失望的，应该不是正品，包装很垃圾，连个袋子都没，我也是无语，气味很重啊，差评！亏了亏了
鞋有味，去实体店60块可以买到
这鞋子真垃圾，真的是便宜没好货，网上的东西都不值得买，质量太差了，胶都没有沾好！！建议不要买&hellip;&hellip;
鞋子异味太大了，一直都没穿
鞋子一般吧，能穿
先说一说第一感受，拿到的时候撕开包装有一股刺鼻的塑料味。看到外观就是觉得是那种比较差的鞋。本身100多块钱没打算是好鞋。但是比想象的还要差一点。味道太大了。也不打算退了。就直接洗了。不知道洗了之后味道会不会好点。而且有的地方开胶。
首先这个好评我给的是心口不一的，我不想给自己的评价抹黑，他家这个鞋先不说真假，就这售后我真是无语了，鞋子收到后我爸就穿了，出去没俩小时回来脚就磨合大泡，我一摸鞋里边，右脚靠近小脚趾的地方有一块很硬的东西根本没有和鞋帮子缝合在一起它就那么凸起着所以才磨脚的，我把这个问题反应给客服了，我也知道鞋子穿过了不能退换，但毕竟是鞋子质量问题最起码的卖家得想法给解决或是修理一下吧，可是呢他家客服是一句人话不会说，说我爸脚长的有问题，新鞋都磨脚，更甚的是客服让我爸贴个创可贴磨脚的地方习惯了就好了，这说的是人话吗？这鞋我自己花钱修了，至于这个客服我特么祝福她家蹬腿一户口本，那就是个二笔
捂脚，穿了一天然后脚臭，这个鞋不适合夏天穿我感觉适合秋天穿穿上去老热老热了穿了一天好像也不能退货100多就当丢了
做工不行，两只鞋不太一样。
假鞋！发过来就是变形的！
鞋子一般，这个价，也差不多这个质量
鞋的胶闻特别刺鼻，非常差差。希望大家慎重选择。
不是正品，刚穿上就有小坑坑，卖家意思说是我的问题，那我想请问，我穿了一次就有小坑坑，丑的要死，又不是穿了很多次，还一直说是正品，正品会出现这样的问题？一直在那跟我狡辩，我要的是解决方法，而不是你一味的辩解，你一直说你们家东西好，那出现问题了，咱们是不是要解决？我要的是你们的解决方案，而不是在那强行的狡辩，一开始我也没说你们家东西不好，是你们强行的狡辩让我很反感，鞋子穿出去很丢人的，慎拍！
鞋子一般般，价格不是很贵，还行吧。
鞋子得底不好，被东西一桶就破了
这鞋不行，还一股子胶水味
这鞋子感觉一般！不太喜欢！
就是有点贵，鞋子一般般
差评差评，鞋子也太臭，服务也太差
客服很好鞋子也不不错
在街上看到比较流行这类型的款式。又见到这鞋搞活动有优惠，现穿的这双鞋又快烂了。所以就拍下了这双鞋。这鞋很轻，网面适合秋夏季穿。百元左右就能买到361大品牌，值，好评。
鞋底板小，，右边脚鞋变形歪，穿起来不舒服
鞋子很差劲，大小号不一，脱线，穿上的感觉就好像没穿到底一样，特别难受，虽然已经补偿，但还是差评，真难受！
鞋子实物没有图片版型好看，显得脚又大又肥重点是鞋子超级磨脚，买给男朋友的，脚后跟的皮都磨没了
图片我就不发了但是我想说这对鞋真的不错穿着非常舒服而且大热天也不热造型也非常美观我非常喜欢
这鞋子和地摊货没两样，码子也不正，平时穿39的我还好拍了40的，穿着还是有点小挤。是给爸爸买的，我让他退，他说麻烦，将就穿两次就不要了。物流和客服服务还是可以的，
真辣鸡，包装盒都是坏的。鞋子也是高仿的和图片是两回事，鞋子真的很辣鸡希望大家不要上当受骗
蛮不错的，虽然鞋底相对于前两双运动鞋差了点，不过毕竟价钱摆在这里，客服稍微慢了点。4星嗯，这个价格还是蛮划算的，推荐购买
就是鞋子太烂了，黑色的鞋子边上的胶都漏出来的！难看！
服务态度不好，鞋子异味很重，号码还小，问客服没人理我
鞋子一般般，没想象中的那么理想
鞋子不是正品，哪里来那么多好评的，刷的吗？
鞋子不行我回来穿了几天就变形了
不是非常的满意，鞋边有点开胶
鞋子不怎么样
发货速度快，鞋可能不是正品
很好，很薄的鞋子
好好好穿了一天挺舒服的尺寸正常由于工作的关系鞋有点脏了
客服很村头二傻子似的，快递也垃圾，鞋子一看就是假的，懒得投诉机制好麻烦，鞋子以扔一边
鞋子不舒服，还有股刺鼻的泡沫鞋底味道，高仿吧，鞋子后面的皮太假了。
鞋子质量差，非常差，售后服务敷衍了事！！！一次非常不愉快的网购！鞋子底边严重变形！
鞋子后面磨脚不知道怎办，退又麻烦，鞋子还算轻便，舒适度还好，就是后面磨脚水泡都磨出来了，唉&hellip;&hellip;希望能给个建议，。。。。？
说是夏季透气的鞋穿上一点都不凉快。除了脚面透点气，脚脖子鞋舌头都比较厚围着脚捂死了。
鞋感觉一般服务不好，付款几天没发货，电话也不给个，让我一直等。上淘宝问才给回复是鞋的质量问题没发货。也不给解决，一直在抱歉，没办法只能换颜色。当选好颜色，再三确认怕你们搞错。收到货后竟然是别的颜色？
鞋不舒服，个脚，找商家商量，商家回复绕弯弯，售前服务一分钟之内答复，售后服务半个小时，也不知道怎么回事，百十块的东西，不值当退了
货已收到，款式还可以，做工一般，有一只鞋子上的不太好，本想退的闲麻烦那也就算了。反正也不贵，鞋子有点味是新鞋的问题。个人意见不象是正品。
买了这么多东西买了这么多鞋子第一次给差评鞋子的胶水都清理不干净，哎比较失望了
非常划算穿着轻巧，美中不足就是鞋子有点异味，怕是天气热
大码鞋不好买，看了好多家最后买了这家的。收到之后弟弟很满意，透气性也好舒适度也好大小也合适。发货也很快给力五星客服很热情，态度很好
【鞋子关注好久了，一直在犹豫买不买，也是看到销量才下定决心买的，没想到收到货是那么的惊喜，鞋子很轻，上脚很舒服，也是想要的效果，老公很喜欢，也介绍朋友购买了，喜欢的可以入手了，真心反馈，绝不是托，大爱大爱大爱大爱大爱大爱大爱大爱大爱大爱喜欢的快来抢购吧，收到会有意想不到的惊喜。
