鞋子很轻盈，穿上去很合脚，十分值得信赖的产品！
包裹性很好，底子也软，明天跑步试试。
旗舰店买的还是比较相信的，码子挺合适的，送人的，感觉还不错的样子，总之是推荐的，买的时候刚好有活动，会便宜一点，但是也不知道平时的价格如何。怕我替哦我饿林业局哈我咋联系咯我现在去找你啊就是那个男的估计亏了我卡提肯么可以胡总
跑了两天之后来评价，减震感觉很好，对于体重比较大的我来说，在塑胶跑道穿这双跑起来毫无压力，买的大一码半的，松紧很舒服！
真，心不错??对得起这个价钱，我现在发现越贵的反而没有平宜的好穿、真是不明的什么原因，我买了八百的还不如三百多的脚感好、越来越爱这个品牌了，已经买了不下十对了，以后也会继续支持你们的
特意试穿了一会脚感很好，透气包裹性很强。走路跑步也不会觉得脚在鞋里滑动。一直想买双亚瑟士的，这白色的还蛮百搭的。做工真不错。没什么瑕疵。这个价位的鞋都还是亚瑟士的穿着舒服。有支撑，完全入坑了，以后还会入手的
挺舒服的，脚宽建议买大半码
很漂亮的鞋子，好几年都是穿这个牌子的跑鞋，很舒服的。满意。
鞋子总体还可以，穿着也挺舒服??
到货快，包装完好，鞋子大小合适、颜色很白，做工精细。
对亚瑟士关注很久了，第一次买先买双便宜的，没有让我失望，非常非常好的鞋
Convenient Logistics.Honestly speaking，it's the first time I've tried Asics and it's given me the surprise that I never expected before， a real running smasher，perfectly suits Asian feet with a similar experience with Ultra boost. BTW do wear your long socks that cover your ankle or your ankles gonna get scratched!
帅气
包裹性好，脚底感觉好！第一次穿，性价比高！
鞋子不错很舒服，鞋底挺厚也很有弹性，物有所值啦
鞋子刚收到，没有什么难闻的气味，这个价格很不错，款式很好看。性价比相对很高，试穿了一下感觉也很好，，透气不错，特意买的白色运动鞋，适合现在穿，百搭，快递第二天就到了，小客服也是一直耐心讲解。五分好评
东西超级好，老公很喜欢。我还会买一双
跑起来很舒服。穿在脚上软弹软弹的，穿上就想出去走一走，要是有钱我就一下买两双。愿天下跑狗都能有一双xxx同款。
十公里内跑还是内问题，包裹性不错，做工业还可以，应该是正品路感有点硬，有点烧脚，再有就是白色不耐脏
很好看，很轻便，鞋底很软，就是圆通快递出了点问题
这双亚瑟士版型是很好看，踩实感很棒 290的价格也值了
蛮好的 一直在这家买
亚瑟士跑鞋比同价位的ād和NIKe都好穿
舒服，走了两天路，缓震效果明显，同时，外形流水美观，后续跑步时再看看效果
跑了两天了，还可以。比我以前的帆布鞋跑起来舒服，脚也不痛。
不错不错舒服
鞋子做工好，客服建议尺码准确，40号的脚，要买40.5号的。女生穿，也不显脚大。
五星好评，之前不相信，穿到脚上去跑了一下试了试，真的非常舒服。把整个脚包裹得很好，跑回来很轻松，有弹性，减震好。而且最棒的是客服态度非常好，买了三双鞋子，有一双因为鞋号不太合适换了一双。客服耐心解答问题，态度非常好，很快完成了换货，而且换回来的鞋子也是认真包装。三百多，性价比还是很高的，一次不错的购物，以后也会继续关注的。
物流算快的了 给男朋友买的七夕礼物希望他会喜欢
质量不错，很喜欢，客服服务也好。发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物
很舒服，跑步也很爽，下回买kayano
鞋子不错是正品，挺好看挺轻巧的，上脚后和以前穿过的跑鞋相比跑起步来缓震感明显，不是那么容易感觉到脚步疲惫，可以说是很舒适了，这个价位作为一款入门级跑鞋值得尝试一下，推荐购买
鞋刚收到。质量不错，穿着舒服，美观大方。好评吧!
昨晚收到，今晨试穿了感觉包裹性很好，脚感舒适有缓冲效果。担心牢固度，只有二个月后见分晓。每天塑胶跑道5km，破了走三包流程。若质量坚固也向广大跑友推荐。
不好意思，确认晚了，主要是等小孩试过后保险，小孩说不错，哈哈
给爸爸买的 脚穿进去还蛮好 就是他说在地面上走路有声音。。。
质量很不错 跑步穿很舒服 还会光顾
不错，老公说鞋子穿起来很舒服，
买来跑步的！质量还不错！
买给男盆友的 还仪式感了一下 给他感动坏了 鞋子很好看 穿上很舒服 没有41码 买了大半码的 怕会大 没想到正好
发货很快&hellip;因为下雨耽误晚到了几天&hellip;物美价廉很舒适，轻便，透气性也好&hellip;第一双亚瑟士的跑鞋！
跑步感觉很棒。
鞋子很舒服，满意，还会回购。
跑起来很舒服 很透气了很赞很赞 但是我懒得拍照片了??
穿着很舒服，鞋子很轻、鞋底比较软、就这事物流速度不敢恭维！
还是依旧的好，下次还来哦
我靠！真舒服.....满意
多次购买了，不言而喻了
鞋子不错一下子买4双，看好你家
穿着很舒服 也很软 非常好??????
不错 爸爸妈妈很喜欢
码子很正很好看
舒服的一批这个鞋子
跑步很好的一款。包裹性确实不错。比较软。适合慢跑。特地跑过再来评价
还不错，和以往一样优秀
买小了，退换了一双。买来跑步穿穿！白色很好看，当时肯定不耐脏的。 东西很不错，后面可忽略！ 东西收到以后马上查看，发现与图片描述一致，超级喜欢，，服务也很到位，点个赞，下次还会来购买!
不错的一款鞋子，
当当当当！完美的一匹！看情况，会再买一双白色的。dddddddd dddddddd（西游记背景音乐 ） 真的可以入手了，真的 。 还阔以嘛反正，不撇。 这个价格可以了 又想要大牌又想好看还想便宜还想穿到舒服??? 你怕是在做梦??（至少这双鞋基本达标） 所以，入手吧，各位。话不多说，赶快下单！
听说码小，结果买大一码。穿着效果不错，挺舒服的。
鞋真的不错，穿着特舒服，鞋底很软，当晚就穿着跑步去了，跑完脚一点不累，果然是专业跑鞋。
穿着还行   样式也挺好 不知道穿一段时间咋样
圆通真的巨慢，七八天才到ヽ(｀⌒&acute;メ)ノ以前在淘宝_.上买东西都是系统自动好评，基本没认真评价过，不知知道浪费多少积分了，现在才知道淘宝评论积分可以涨气值呢，这才知知道好评的重要性。这个福利实在太赞了，妥妥的每条都来评论下，赚积分，下次还能抵现金用。评论80个字以上，可以得到50个积分从此我无论买什么东西都会把这个段话复制粘贴下凑够字数，然后再填写商品的评论!东西非常好，是正品，包装用心买回来直忘记评价不好意思本来这个价格没抱很大希望，收到时候发现质量出乎意料的好，和图片描述的一-样，超级划算性价比也很高六星好评多星不怕你骄傲还在犹豫的朋友赶快下手， 良心推荐!真的很好很喜欢，性价价比七较高，质量也好在别的地方看很贵。以前在淘宝_上买东西都是系统自动好评，基本没认真评价过，不知知道浪费多少积分了，现在才知道淘宝评论积分可以涨气值呢，这才知知道好评的重要性。这个福利实在太好了。   掌柜回复：那些长长浅浅细细密密的思念，就像一粒粒断了线的珍珠，颗颗饱满而敦实的散落在思绪里的每个幽暗角落。然而思念是一 种蛊惑，任凭我跋山涉水，依然无法逃逸。期待亲下次来的的那一   问刻。。。
鞋子穿起来超级舒服也好看，支持亚瑟士
it looks better than i thought but 40.5 got a little bit small，41 would be better
很漂亮，试穿了一下，合脚。不过还没去跑步，好穿再追评。
包装很简洁，非常轻~儿子是个大胖子 ，衣服只要码数够能穿 ，他就不挑了 ，但是对鞋子特别挑/各种途径买过好多运动鞋 。价格也在200-500之间。之前朋友正好有亚瑟士的鞋子，送了一双 。对比各种鞋子 ，他还是选择了这个品牌。这款白色的前脚掌处比较宽 。他穿了更舒服一些。 黑色的前脚掌处稍微小一点点，刚刚好 。已经穿了一段时间 。两双鞋子的质量都没问题
质量不错，百搭休闲，好看
特别特别棒，客服也特别棒，只能说，最近买的鞋里，就这双最好穿，最舒适，夏天穿也不热，
穿上跑了两次，非常不错，缓冲性能很好。夏天有点点捂脚，不过上脚非常舒服。
